Line no. 	 Token no. 	 Token 		 Lexeme

      1		       0	 Keyword	 inlcude
      1		       1	 Keyword	   stdio
      1		       2	 Keyword	       h
      2		       3	 Keyword	    void
      2		       4	 Keyword	    main
      2		       5	 Special symbol	       )
      3		       6	 Special symbol	       {
      4		       7	 Keyword	     int
      4		       8	 Keyword	       a
      4		       9	 Digit		       2
      4		      10	 Digit		       0
      4		      11	 Special symbol	       ;
      5		      12	 Keyword	     int
      5		      13	 Keyword	       b
      5		      14	 Digit		       3
      5		      15	 Digit		       0
      5		      16	 Special symbol	       ;
      6		      17	 Keyword	     int
      6		      18	 Keyword	       c
      6		      19	 Keyword	       a
      6		      20	 Keyword	       b
      7		      21	 Keyword	  printf
      7		      22	 Keyword	     sum
      7		      23	 Special symbol	       %
      7		      24	 Keyword	       d
      7		      25	 Keyword	       c
      7		      26	 Special symbol	       ;
      8		      27	 Special symbol	       }
